;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;encoded_label
static__InfectionSuspected_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__Infusion_False;-0.073;-0.096;-0.024;-0.064;-0.059;0.003;-0.044;-0.013;0.093;-0.042;0.253;0.134;0.188;-0.148;-0.098;0.66;-0.507;-0.098;0.559;-0.452;-0.098;0.718;-0.535;-0.098;0.67;-0.529;-0.098;0.104;-0.104;0.103;-0.103;0.094;-0.021;-0.098;0.292;-0.246;-0.098;0.32;-0.271;-0.098;0.573;-0.456;-0.098;0.136;-0.088;-0.098;0.145;-0.1;-0.098;0.085;0.001;-0.098;0.743;-0.556;-0.098;1.0;-0.817;-0.098;0.12;-0.066;-0.098;0.506;-0.393;-0.098;0.111;-0.054;-0.098;0.316;-0.26;-0.098;0.551;-0.432;-0.098;0.761;-0.566;-0.098;-0.062;0.098;-0.033;-0.029;-0.051;-0.029;-0.042;-0.072;-0.039;0.133;-0.015;-0.067;-0.015;-0.059;0.031;-0.059;0.083;-0.099;-0.021;-0.039;-0.036;-0.029;0.174;-0.021;-0.087;-0.067;-0.013;-0.196;-0.036;0.14;0.255;-0.14;0.025;-0.042;-0.132;-0.059;-0.071;0.301;0.549;-0.154;-0.021;-0.015;0.046;-0.072;-0.125;-0.064;0.156;0.019;-0.069;-0.029;0.041;-0.108;-0.071;0.133;-0.015;0.034;0.003;-0.099;0.039;-0.217;0.238;-0.067;-0.027;-0.112;0.063;-0.042;0.127;0.09;-0.039;0.09;0.09;0.156;-0.041;-0.301;-0.015;0.127;0.156;0.219;0.218;0.127;0.18;0.09;0.007;0.095;0.053;0.156;0.221;0.053;0.127;0.09;0.127;-0.087
static__Infusion_True;0.079;0.126;0.045;0.086;0.009;0.021;0.042;-0.03;-0.114;0.06;-0.229;-0.166;0.031;0.219;-0.494;-0.523;0.745;-0.494;-0.422;0.65;-0.494;-0.579;0.792;-0.494;-0.528;0.748;-0.494;0.456;-0.456;0.463;-0.463;0.386;0.042;-0.494;-0.124;0.351;-0.494;-0.159;0.385;-0.494;-0.439;0.667;-0.494;0.267;0.114;-0.494;0.266;0.123;-0.494;0.424;0.018;-0.494;-0.601;0.81;-0.494;-0.817;1.0;-0.494;0.367;0.081;-0.494;-0.382;0.618;-0.494;0.32;0.078;-0.494;-0.175;0.402;-0.494;-0.422;0.653;-0.494;-0.618;0.824;-0.494;-0.314;0.494;-0.164;-0.147;-0.256;-0.147;0.048;-0.365;0.047;0.249;-0.073;0.083;-0.073;-0.296;0.021;-0.296;0.158;-0.175;0.025;0.013;0.041;-0.01;-0.016;-0.104;-0.165;-0.24;0.038;0.206;0.076;-0.101;-0.208;0.082;-0.263;0.032;0.074;0.003;0.178;-0.21;-0.483;0.021;0.06;0.018;-0.134;0.013;0.075;0.175;-0.127;0.26;-0.349;-0.147;-0.006;-0.194;-0.148;0.249;0.018;0.074;0.038;-0.175;-0.023;0.099;-0.021;-0.24;0.043;-0.078;0.102;0.032;-0.104;-0.073;0.013;-0.073;-0.073;-0.127;0.016;0.286;0.018;-0.104;-0.127;-0.175;-0.208;-0.104;-0.147;-0.073;-0.031;-0.074;-0.104;-0.127;-0.18;-0.104;-0.104;-0.073;-0.104;0.023
static__Infusion_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__Oligurie_False;0.038;0.033;0.051;0.071;-0.19;0.059;-0.008;-0.049;-0.034;0.049;-0.001;-0.044;0.323;0.075;-0.815;0.112;0.392;-0.815;0.102;0.35;-0.815;0.101;0.428;-0.815;0.121;0.365;-0.815;0.766;-0.766;0.775;-0.775;0.648;0.05;-0.815;0.219;0.156;-0.815;0.187;0.19;-0.815;0.118;0.35;-0.815;0.757;-0.236;-0.815;0.727;-0.188;-0.815;0.766;-0.101;-0.815;0.101;0.428;-0.815;0.12;0.367;-0.815;1.0;-0.547;-0.815;0.101;0.371;-0.815;0.664;-0.068;-0.815;0.204;0.186;-0.815;0.127;0.349;-0.815;0.099;0.436;-0.815;-0.518;0.815;-0.271;-0.242;-0.421;-0.242;0.011;-0.601;-0.021;0.519;-0.121;0.05;-0.121;-0.488;0.057;-0.488;0.347;-0.375;0.015;-0.071;0.006;-0.044;0.188;-0.171;-0.328;-0.415;0.03;0.061;0.045;0.034;0.031;-0.044;-0.329;-0.013;-0.046;-0.089;0.145;0.08;0.018;-0.156;0.037;0.011;-0.124;-0.055;-0.023;0.142;0.019;0.408;-0.574;-0.242;0.018;-0.41;-0.3;0.519;0.011;0.163;0.044;-0.375;0.009;-0.12;0.25;-0.415;0.041;-0.241;0.215;-0.013;0.015;0.011;-0.021;0.011;0.011;0.019;-0.026;0.025;0.011;0.015;0.019;0.034;-0.016;0.015;0.022;0.011;-0.081;0.019;-0.078;0.019;0.027;-0.078;0.015;0.011;0.015;-0.225
static__Oligurie_True;-0.028;0.048;-0.028;-0.048;0.223;-0.043;0.023;-0.019;-0.021;-0.027;-0.021;-0.047;-0.071;0.095;-0.04;-0.061;0.077;-0.04;-0.012;0.033;-0.04;-0.055;0.071;-0.04;-0.066;0.081;-0.04;0.042;-0.042;0.042;-0.042;0.049;-0.027;-0.04;-0.053;0.071;-0.04;-0.023;0.041;-0.04;-0.049;0.066;-0.04;-0.345;0.498;-0.04;-0.275;0.412;-0.04;-0.078;0.222;-0.04;-0.055;0.071;-0.04;-0.066;0.081;-0.04;-0.547;1.0;-0.04;-0.024;0.044;-0.04;-0.106;0.196;-0.04;-0.1;0.115;-0.04;-0.069;0.084;-0.04;-0.054;0.07;-0.04;-0.025;0.04;-0.013;-0.012;-0.021;-0.012;0.009;-0.029;0.07;0.015;-0.006;-0.027;-0.006;-0.024;0.023;-0.024;-0.024;-0.005;-0.008;0.07;0.013;-0.012;0.016;-0.008;-0.035;-0.027;0.015;-0.017;0.033;-0.006;-0.017;-0.024;-0.031;0.009;-0.026;0.033;0.039;-0.006;-0.042;-0.014;0.04;-0.006;-0.02;-0.029;-0.045;0.052;-0.01;-0.013;-0.028;-0.012;0.044;-0.012;-0.008;0.015;-0.006;-0.022;0.024;-0.005;0.01;-0.02;0.036;-0.027;-0.022;-0.021;0.022;0.009;-0.008;-0.006;-0.016;-0.006;-0.006;-0.01;-0.004;0.013;-0.006;-0.008;-0.01;-0.019;-0.017;-0.008;-0.012;-0.006;0.078;-0.01;-0.008;-0.01;-0.015;-0.008;-0.008;-0.006;-0.008;0.254
static__Oligurie_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__SIRSCritHeartRate_False;-0.095;-0.065;-0.03;-0.047;-0.049;-0.023;-0.005;-0.017;0.056;0.044;0.15;0.119;0.194;-0.151;-0.104;0.531;-0.393;-0.104;0.443;-0.344;-0.104;0.581;-0.417;-0.104;0.482;-0.362;-0.104;0.11;-0.11;0.094;-0.094;0.128;-0.071;-0.104;0.236;-0.188;-0.104;0.251;-0.201;-0.104;0.454;-0.346;-0.104;0.145;-0.095;-0.104;0.142;-0.091;-0.104;0.121;-0.058;-0.104;0.616;-0.447;-0.104;0.506;-0.382;-0.104;0.101;-0.024;-0.104;1.0;-0.827;-0.104;0.121;-0.06;-0.104;0.161;-0.107;-0.104;0.422;-0.315;-0.104;0.633;-0.456;-0.104;-0.066;0.104;-0.034;-0.031;-0.054;-0.031;-0.03;-0.077;-0.041;0.111;-0.015;-0.027;-0.015;-0.062;0.028;-0.062;0.076;-0.089;-0.022;-0.041;-0.023;-0.031;0.109;-0.022;-0.074;-0.071;-0.06;-0.097;-0.022;0.124;0.241;-0.101;-0.003;-0.011;-0.079;-0.062;-0.056;0.203;0.397;-0.098;-0.002;-0.015;-0.021;-0.077;-0.085;-0.05;0.147;0.016;-0.073;-0.031;0.049;-0.086;-0.064;0.111;-0.015;0.022;0.007;-0.089;0.048;-0.149;0.168;-0.071;-0.004;-0.103;0.027;-0.011;0.12;0.085;0.035;0.085;0.085;0.147;-0.047;-0.208;-0.015;0.049;0.147;0.142;0.134;0.12;0.12;-0.015;0.003;0.089;0.049;0.147;0.208;0.049;0.12;0.085;0.049;-0.078
static__SIRSCritHeartRate_True;0.099;0.098;0.05;0.07;0.003;0.043;0.008;-0.025;-0.081;-0.016;-0.141;-0.153;0.018;0.221;-0.473;-0.419;0.642;-0.473;-0.328;0.553;-0.473;-0.468;0.686;-0.473;-0.371;0.598;-0.473;0.435;-0.435;0.456;-0.456;0.342;0.086;-0.473;-0.082;0.299;-0.473;-0.106;0.322;-0.473;-0.342;0.569;-0.473;0.247;0.12;-0.473;0.257;0.115;-0.473;0.379;0.07;-0.473;-0.5;0.713;-0.473;-0.393;0.618;-0.473;0.371;0.044;-0.473;-0.827;1.0;-0.473;0.299;0.084;-0.473;-0.044;0.265;-0.473;-0.316;0.547;-0.473;-0.515;0.725;-0.473;-0.301;0.473;-0.157;-0.14;-0.245;-0.14;0.038;-0.349;0.049;0.257;-0.07;0.047;-0.07;-0.283;0.023;-0.283;0.157;-0.176;0.026;0.016;0.029;-0.007;0.037;-0.099;-0.169;-0.227;0.079;0.12;0.063;-0.089;-0.199;0.051;-0.232;0.005;0.029;0.008;0.162;-0.128;-0.356;-0.024;0.042;0.019;-0.073;0.019;0.042;0.16;-0.122;0.255;-0.333;-0.14;-0.014;-0.205;-0.149;0.257;0.019;0.082;0.033;-0.176;-0.032;0.043;0.033;-0.227;0.022;-0.079;0.13;0.005;-0.099;-0.07;-0.052;-0.07;-0.07;-0.122;0.023;0.206;0.019;-0.036;-0.122;-0.11;-0.136;-0.099;-0.096;0.019;-0.027;-0.07;-0.099;-0.122;-0.172;-0.099;-0.099;-0.07;-0.036;0.017
static__SIRSCritHeartRate_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__SIRSCritLeucos_False;0.0;0.019;0.058;0.037;-0.097;0.036;0.03;-0.037;-0.055;0.028;0.008;-0.029;0.36;-0.012;-0.719;0.101;0.344;-0.719;0.147;0.258;-0.719;0.115;0.357;-0.719;0.125;0.307;-0.719;0.674;-0.674;0.682;-0.682;0.58;0.03;-0.719;0.184;0.147;-0.719;0.184;0.149;-0.719;0.136;0.28;-0.719;0.592;-0.107;-0.719;0.578;-0.08;-0.719;0.656;-0.05;-0.719;0.115;0.357;-0.719;0.111;0.32;-0.719;0.664;-0.106;-0.719;0.121;0.299;-0.719;1.0;-0.655;-0.719;0.188;0.156;-0.719;0.084;0.333;-0.719;0.112;0.364;-0.719;-0.458;0.719;-0.239;-0.214;-0.372;-0.214;0.024;-0.53;0.032;0.429;-0.107;0.057;-0.107;-0.431;0.034;-0.431;0.295;-0.304;0.017;-0.058;0.041;-0.095;0.177;-0.151;-0.281;-0.39;0.016;0.045;0.048;0.03;0.035;-0.058;-0.331;0.024;-0.019;-0.101;0.12;0.091;0.034;-0.127;0.046;0.012;-0.103;-0.087;-0.041;0.127;0.021;0.333;-0.507;-0.214;0.052;-0.335;-0.253;0.429;0.012;0.119;0.032;-0.304;0.045;-0.118;0.237;-0.39;0.046;-0.227;0.181;0.024;0.017;0.012;-0.013;0.012;0.012;0.021;-0.029;0.015;0.012;0.017;0.021;0.039;-0.007;0.017;0.025;0.012;-0.067;0.021;-0.067;0.021;0.03;-0.067;0.017;0.012;0.017;-0.126
static__SIRSCritLeucos_True;0.027;0.052;-0.038;0.002;0.061;-0.007;-0.037;-0.025;0.019;0.002;-0.028;-0.051;-0.151;0.186;-0.054;-0.046;0.072;-0.054;-0.087;0.108;-0.054;-0.075;0.096;-0.054;-0.072;0.094;-0.054;0.057;-0.057;0.057;-0.057;0.045;0.001;-0.054;-0.02;0.044;-0.054;-0.039;0.064;-0.054;-0.08;0.101;-0.054;-0.128;0.223;-0.054;-0.094;0.181;-0.054;-0.008;0.108;-0.054;-0.075;0.096;-0.054;-0.054;0.078;-0.054;-0.068;0.196;-0.054;-0.06;0.084;-0.054;-0.655;1.0;-0.054;-0.081;0.103;-0.054;-0.008;0.038;-0.054;-0.073;0.095;-0.054;-0.034;0.054;-0.018;-0.016;-0.028;-0.016;-0.013;-0.04;-0.021;0.067;-0.008;-0.037;-0.008;-0.032;0.043;-0.032;0.008;-0.055;-0.011;0.044;-0.042;0.07;0.002;-0.011;-0.048;0.001;0.027;0.002;0.015;-0.003;-0.023;0.008;0.025;-0.045;-0.052;0.054;0.046;-0.031;-0.057;-0.029;0.013;-0.008;-0.027;0.031;-0.005;0.041;-0.014;0.042;-0.038;-0.016;-0.018;-0.06;-0.031;0.067;-0.008;0.025;0.03;-0.055;-0.044;-0.002;0.011;0.001;-0.03;-0.004;0.035;-0.045;-0.011;-0.008;-0.021;-0.008;-0.008;-0.014;0.005;0.021;-0.008;-0.011;-0.014;-0.025;-0.023;-0.011;-0.016;-0.008;0.05;-0.014;-0.011;-0.014;-0.02;-0.011;-0.011;-0.008;-0.011;0.08
static__SIRSCritLeucos_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__SIRSCritTachypnea_False;-0.067;0.025;-0.04;-0.05;-0.078;-0.063;-0.036;-0.034;0.034;-0.013;0.043;0.134;0.286;-0.212;-0.174;0.283;-0.138;-0.174;0.321;-0.195;-0.174;0.301;-0.141;-0.174;0.296;-0.158;-0.174;0.173;-0.173;0.183;-0.183;0.136;0.015;-0.174;0.144;-0.064;-0.174;0.126;-0.045;-0.174;0.318;-0.186;-0.174;0.228;-0.139;-0.174;0.18;-0.073;-0.174;0.203;-0.097;-0.174;0.337;-0.171;-0.174;0.316;-0.175;-0.174;0.204;-0.1;-0.174;0.161;-0.044;-0.174;0.188;-0.081;-0.174;1.0;-0.886;-0.174;0.141;-0.026;-0.174;0.343;-0.173;-0.174;-0.111;0.174;-0.058;-0.052;-0.09;-0.052;-0.031;-0.128;-0.04;0.146;-0.026;-0.002;-0.026;-0.104;-0.042;-0.104;0.146;-0.093;-0.037;-0.04;-0.032;-0.014;0.154;-0.037;-0.06;-0.103;-0.027;-0.082;-0.074;0.056;0.143;-0.053;-0.047;-0.031;-0.087;-0.066;0.033;0.102;0.236;-0.117;-0.052;-0.026;-0.04;-0.034;-0.056;0.052;0.088;0.085;-0.123;-0.052;0.007;-0.105;-0.091;0.146;-0.026;0.083;-0.056;-0.093;0.032;-0.133;0.149;-0.103;0.046;-0.114;0.088;-0.031;0.071;0.05;-0.04;0.05;0.05;0.088;-0.062;-0.078;-0.026;0.071;0.088;0.063;0.089;0.071;0.063;-0.026;-0.063;0.043;0.017;0.088;0.124;0.017;0.071;0.05;0.071;-0.16
static__SIRSCritTachypnea_True;0.077;0.01;0.059;0.073;0.041;0.08;0.037;-0.001;-0.059;0.032;-0.049;-0.17;-0.119;0.278;-0.302;-0.231;0.379;-0.302;-0.257;0.396;-0.302;-0.253;0.4;-0.302;-0.241;0.385;-0.302;0.276;-0.276;0.272;-0.272;0.248;0.005;-0.302;-0.034;0.173;-0.302;-0.025;0.163;-0.302;-0.258;0.398;-0.302;0.091;0.164;-0.302;0.145;0.099;-0.302;0.208;0.11;-0.302;-0.288;0.429;-0.302;-0.26;0.402;-0.302;0.186;0.115;-0.302;-0.107;0.265;-0.302;0.156;0.103;-0.302;-0.886;1.0;-0.302;-0.088;0.248;-0.302;-0.295;0.435;-0.302;-0.192;0.302;-0.1;-0.09;-0.156;-0.09;0.039;-0.222;0.049;0.155;-0.045;0.021;-0.045;-0.181;0.081;-0.181;0.045;-0.122;0.041;0.021;0.038;-0.016;-0.038;-0.063;-0.137;-0.142;0.048;0.108;0.108;-0.037;-0.127;0.019;-0.15;0.025;0.05;0.024;0.062;-0.055;-0.232;0.021;0.084;0.029;-0.037;-0.008;0.027;0.047;-0.078;0.142;-0.213;-0.09;0.018;-0.132;-0.083;0.155;0.029;0.004;0.087;-0.122;-0.022;0.055;0.007;-0.142;-0.029;-0.032;0.043;0.025;-0.063;-0.045;0.021;-0.045;-0.045;-0.078;0.045;0.094;0.029;-0.063;-0.078;-0.048;-0.101;-0.063;-0.053;0.029;0.041;-0.035;-0.063;-0.078;-0.11;-0.063;-0.063;-0.045;-0.063;0.112
