;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__FirstWithdrawalAmount_9;0.269;0.005;0.103;0.016;0.005;0.089;0.011;0.011;0.005;0.103;0.016;0.005;0.089;-0.025;-0.008;0.005;0.103;0.016;0.005;0.089;-0.106;-0.106;0.041;0.103;0.039;0.041;0.089;0.0;-0.106;0.041;0.103;0.039;0.041;0.089;0.496;0.199;0.112;0.217;-0.079;-0.112;0.038;0.103;0.034;0.038;0.089;0.511;0.199;0.105;0.213;0.068;0.019;0.005;0.104;0.005;0.005;0.089;0.632;0.258;0.145;0.271;-0.031;0.009;0.007;0.104;0.006;0.006;0.089;0.84;0.401;0.253;0.418;-0.058;-0.028;0.019;0.104;0.003;0.017;0.088;1.0;0.516;0.353;0.537;-0.106;-0.065;0.0;0.104;-0.009;-0.001;0.088;0.895;0.445;0.286;0.476;-0.077;-0.09;-0.01;0.103;-0.005;-0.011;0.087;0.837;0.398;0.229;0.432;-0.068;-0.105;-0.013;0.103;-0.005;-0.014;0.086;0.803;0.372;0.188;0.401;-0.054;-0.111;-0.017;0.103;-0.003;-0.017;0.086;0.778;0.35;0.157;0.378;0.057;-0.054;-0.037;0.1;0.003;-0.038;0.086;0.763;0.333;0.132;0.361;-0.026;-0.061;-0.037;0.1;0.002;-0.037;0.086;0.746;0.321;0.116;0.349;0.065;0.028;-0.043;0.098;0.004;-0.043;0.08;-0.019
index__MonthlyCost_9;0.318;-0.066;0.071;-0.035;-0.065;0.064;-0.092;-0.092;-0.066;0.071;-0.035;-0.065;0.064;-0.118;-0.127;-0.066;0.071;-0.035;-0.065;0.064;-0.169;-0.169;-0.01;0.07;-0.001;-0.01;0.064;0.044;-0.167;-0.009;0.07;-0.001;-0.008;0.064;0.284;0.516;0.226;0.443;0.016;-0.044;-0.007;0.071;0.002;-0.007;0.065;0.298;0.547;0.24;0.469;-0.041;-0.059;0.018;0.071;0.008;0.018;0.065;0.35;0.64;0.278;0.546;-0.015;-0.06;0.02;0.07;0.006;0.019;0.065;0.447;0.841;0.354;0.698;-0.105;-0.106;0.029;0.07;0.008;0.027;0.063;0.516;1.0;0.428;0.823;-0.174;-0.165;-0.001;0.069;-0.009;-0.002;0.062;0.429;0.88;0.317;0.727;-0.121;-0.19;-0.018;0.069;-0.004;-0.018;0.061;0.369;0.802;0.22;0.656;-0.107;-0.212;-0.023;0.068;-0.004;-0.024;0.06;0.33;0.765;0.147;0.606;-0.083;-0.216;-0.026;0.068;-0.0;-0.027;0.06;0.302;0.722;0.094;0.57;0.19;-0.045;-0.091;0.068;0.009;-0.092;0.063;0.283;0.698;0.049;0.544;0.017;-0.037;-0.099;0.068;0.01;-0.1;0.063;0.269;0.679;0.02;0.526;0.17;0.125;-0.121;0.067;0.015;-0.12;0.059;-0.052
index__NumberOfTerms_9;0.124;-0.089;0.042;-0.063;-0.088;0.044;-0.146;-0.146;-0.089;0.042;-0.063;-0.088;0.044;-0.167;-0.189;-0.089;0.042;-0.063;-0.088;0.044;-0.21;-0.21;-0.02;0.041;-0.021;-0.019;0.045;0.059;-0.207;-0.018;0.041;-0.021;-0.017;0.045;0.215;0.259;0.504;0.385;0.051;-0.025;-0.012;0.042;-0.016;-0.012;0.046;0.225;0.279;0.54;0.413;-0.082;-0.091;0.028;0.043;0.001;0.028;0.046;0.253;0.315;0.629;0.473;-0.006;-0.088;0.031;0.043;-0.001;0.031;0.046;0.307;0.371;0.818;0.587;-0.128;-0.14;0.038;0.043;0.003;0.036;0.044;0.353;0.428;1.0;0.687;-0.213;-0.211;0.001;0.042;-0.018;-0.0;0.043;0.257;0.299;0.874;0.569;-0.15;-0.242;-0.02;0.041;-0.012;-0.02;0.041;0.19;0.198;0.775;0.479;-0.138;-0.27;-0.027;0.041;-0.012;-0.027;0.04;0.144;0.129;0.707;0.415;-0.102;-0.274;-0.03;0.041;-0.008;-0.03;0.04;0.113;0.078;0.659;0.369;0.268;-0.037;-0.119;0.041;0.001;-0.118;0.045;0.091;0.037;0.623;0.335;0.041;-0.021;-0.132;0.041;0.002;-0.131;0.045;0.075;0.011;0.6;0.312;0.21;0.165;-0.165;0.042;0.001;-0.162;0.044;-0.063
index__OfferedAmount_9;0.447;-0.084;0.08;-0.047;-0.083;0.067;-0.111;-0.111;-0.084;0.08;-0.047;-0.083;0.067;-0.138;-0.15;-0.084;0.08;-0.047;-0.083;0.067;-0.163;-0.163;-0.03;0.08;-0.014;-0.03;0.067;0.059;-0.161;-0.028;0.08;-0.014;-0.028;0.067;0.331;0.48;0.377;0.572;0.044;-0.015;-0.024;0.08;-0.008;-0.024;0.068;0.343;0.51;0.404;0.606;-0.073;-0.078;0.017;0.081;0.008;0.017;0.068;0.39;0.583;0.463;0.694;-0.004;-0.075;0.018;0.08;0.006;0.017;0.068;0.472;0.708;0.573;0.858;-0.102;-0.115;0.023;0.08;0.007;0.021;0.067;0.537;0.823;0.687;1.0;-0.167;-0.171;-0.005;0.079;-0.01;-0.006;0.066;0.451;0.715;0.587;0.906;-0.117;-0.193;-0.022;0.079;-0.005;-0.022;0.065;0.393;0.642;0.506;0.84;-0.106;-0.214;-0.027;0.078;-0.004;-0.028;0.064;0.354;0.603;0.449;0.792;-0.08;-0.217;-0.029;0.078;-0.001;-0.03;0.064;0.327;0.57;0.408;0.76;0.22;-0.024;-0.099;0.077;0.007;-0.1;0.067;0.309;0.545;0.377;0.736;0.034;-0.011;-0.11;0.078;0.007;-0.11;0.067;0.295;0.529;0.357;0.72;0.179;0.144;-0.13;0.076;0.008;-0.128;0.063;-0.054
index__timesincelastevent_9;0.006;0.027;-0.001;0.013;0.026;0.019;0.023;0.023;0.027;-0.001;0.013;0.026;0.019;0.035;0.035;0.027;-0.001;0.013;0.026;0.019;0.232;0.232;-0.051;-0.001;-0.028;-0.052;0.018;-0.003;0.232;-0.051;-0.001;-0.028;-0.052;0.018;-0.058;-0.091;-0.105;-0.09;0.027;0.107;-0.05;-0.0;-0.025;-0.051;0.018;-0.06;-0.097;-0.112;-0.096;-0.114;-0.066;-0.025;-0.001;-0.002;-0.027;0.019;-0.071;-0.113;-0.131;-0.112;0.085;-0.038;-0.026;-0.001;0.008;-0.027;0.019;-0.096;-0.152;-0.182;-0.148;-0.046;-0.055;-0.03;-0.001;0.01;-0.03;0.019;-0.106;-0.174;-0.213;-0.167;1.0;0.315;-0.058;0.001;-0.004;-0.058;0.025;-0.102;-0.154;-0.191;-0.145;-0.026;0.237;-0.057;0.001;-0.003;-0.058;0.025;-0.087;-0.13;-0.159;-0.121;0.175;0.277;-0.027;0.002;-0.015;-0.026;0.027;-0.064;-0.087;-0.098;-0.077;-0.006;0.247;-0.027;0.002;-0.014;-0.027;0.027;-0.054;-0.067;-0.072;-0.057;-0.059;0.17;0.012;0.002;-0.02;0.011;0.026;-0.046;-0.048;-0.046;-0.039;-0.02;0.154;0.014;0.002;-0.019;0.014;0.026;-0.044;-0.041;-0.037;-0.032;-0.066;0.012;0.03;0.001;-0.021;0.029;0.026;0.05
index__timesincecasestart_9;0.043;0.102;0.006;0.149;0.101;0.067;0.052;0.052;0.102;0.006;0.149;0.101;0.067;0.119;0.104;0.102;0.006;0.149;0.101;0.067;0.064;0.064;0.084;0.006;0.135;0.083;0.067;-0.094;0.061;0.081;0.006;0.135;0.081;0.067;-0.213;-0.328;-0.376;-0.323;0.218;0.227;0.07;0.007;0.133;0.069;0.069;-0.216;-0.329;-0.377;-0.325;0.645;0.726;-0.098;0.009;0.001;-0.098;0.076;-0.194;-0.307;-0.36;-0.307;0.247;0.76;-0.098;0.009;-0.002;-0.097;0.078;-0.142;-0.253;-0.308;-0.255;0.632;0.93;-0.108;0.012;-0.065;-0.106;0.085;-0.065;-0.165;-0.211;-0.171;0.315;1.0;-0.116;0.013;-0.08;-0.114;0.088;-0.04;-0.119;-0.156;-0.125;0.165;0.874;-0.094;0.014;-0.077;-0.093;0.09;-0.008;-0.074;-0.095;-0.08;0.032;0.841;-0.08;0.014;-0.082;-0.079;0.091;0.005;-0.052;-0.063;-0.056;0.072;0.777;-0.078;0.015;-0.081;-0.077;0.092;0.013;-0.037;-0.044;-0.043;-0.312;0.442;0.021;0.014;-0.086;0.021;0.087;0.019;-0.03;-0.035;-0.035;-0.011;0.414;0.029;0.015;-0.085;0.03;0.088;0.025;-0.024;-0.029;-0.03;-0.214;0.002;0.066;0.015;-0.088;0.065;0.091;0.006
index__timesincemidnight_9;0.013;0.242;-0.02;-0.063;0.241;-0.065;0.045;0.045;0.242;-0.02;-0.063;0.241;-0.065;0.001;0.028;0.242;-0.02;-0.063;0.241;-0.065;-0.05;-0.05;0.265;-0.02;-0.05;0.264;-0.065;-0.018;-0.051;0.265;-0.02;-0.05;0.264;-0.065;-0.012;-0.021;-0.017;-0.021;-0.024;-0.041;0.3;-0.02;-0.052;0.299;-0.065;-0.011;-0.02;-0.014;-0.02;-0.067;-0.083;0.646;-0.021;-0.041;0.644;-0.065;-0.017;-0.025;-0.02;-0.024;-0.012;-0.082;0.666;-0.021;-0.041;0.664;-0.065;-0.018;-0.022;-0.022;-0.023;-0.067;-0.1;0.88;-0.021;-0.033;0.876;-0.064;0.0;-0.001;0.001;-0.005;-0.058;-0.116;1.0;-0.022;-0.035;0.996;-0.065;0.008;0.007;0.015;0.002;-0.012;-0.098;0.916;-0.021;-0.033;0.913;-0.065;0.003;-0.0;0.005;-0.004;0.002;-0.092;0.85;-0.021;-0.024;0.847;-0.066;0.004;-0.003;0.001;-0.006;0.001;-0.083;0.827;-0.021;-0.022;0.823;-0.066;0.004;-0.002;0.0;-0.006;-0.014;-0.082;0.621;-0.022;-0.009;0.618;-0.066;0.003;-0.003;-0.001;-0.007;0.011;-0.074;0.597;-0.022;-0.01;0.595;-0.066;0.002;-0.004;0.0;-0.009;0.005;-0.028;0.516;-0.025;-0.016;0.518;-0.068;0.004
index__month_9;0.079;-0.024;0.99;-0.008;-0.025;0.623;0.448;0.448;-0.024;0.99;-0.008;-0.025;0.623;-0.086;0.215;-0.024;0.99;-0.008;-0.025;0.623;-0.009;-0.009;-0.019;0.99;-0.006;-0.02;0.624;-0.016;-0.01;-0.02;0.99;-0.006;-0.021;0.624;0.049;0.029;0.015;0.039;-0.002;-0.006;-0.024;0.991;-0.005;-0.025;0.623;0.05;0.03;0.014;0.038;0.007;0.005;-0.011;0.997;0.013;-0.011;0.618;0.067;0.043;0.025;0.05;-0.002;0.004;-0.012;0.997;0.012;-0.012;0.618;0.09;0.06;0.035;0.068;0.018;0.013;-0.017;0.999;0.015;-0.017;0.617;0.104;0.069;0.042;0.079;0.001;0.013;-0.022;1.0;0.013;-0.022;0.616;0.108;0.074;0.045;0.086;-0.013;0.004;-0.028;0.999;0.017;-0.028;0.615;0.11;0.074;0.046;0.087;0.001;0.004;-0.03;0.999;0.015;-0.03;0.615;0.109;0.075;0.047;0.089;-0.015;-0.001;-0.032;0.997;0.012;-0.032;0.614;0.109;0.073;0.043;0.087;-0.002;-0.002;-0.037;0.985;0.028;-0.038;0.606;0.108;0.071;0.039;0.086;-0.007;-0.005;-0.037;0.984;0.027;-0.037;0.605;0.108;0.072;0.039;0.087;-0.0;-0.002;-0.01;0.958;0.009;-0.009;0.564;0.017
index__weekday_9;0.014;0.016;0.01;0.218;0.016;0.011;0.016;0.016;0.016;0.01;0.218;0.016;0.011;0.012;0.017;0.016;0.01;0.218;0.016;0.011;-0.067;-0.067;0.031;0.009;0.272;0.031;0.011;0.01;-0.066;0.032;0.009;0.272;0.032;0.011;-0.012;-0.018;-0.02;-0.018;-0.008;-0.031;0.024;0.01;0.295;0.025;0.011;-0.011;-0.02;-0.021;-0.018;-0.083;-0.094;0.024;0.012;0.822;0.024;0.007;-0.004;-0.009;-0.011;-0.008;-0.01;-0.091;0.023;0.012;0.834;0.022;0.007;-0.0;-0.004;-0.008;-0.003;-0.026;-0.083;-0.01;0.013;0.953;-0.011;0.003;-0.009;-0.009;-0.018;-0.01;-0.004;-0.08;-0.035;0.013;1.0;-0.036;0.003;-0.004;-0.007;-0.017;-0.007;0.036;-0.046;-0.044;0.013;0.949;-0.044;0.003;-0.004;-0.006;-0.016;-0.008;0.033;-0.034;-0.043;0.013;0.911;-0.044;0.003;-0.006;-0.005;-0.012;-0.006;0.019;-0.025;-0.044;0.012;0.893;-0.045;0.003;-0.005;-0.005;-0.007;-0.004;-0.02;-0.036;-0.044;0.007;0.552;-0.045;0.008;-0.001;-0.003;-0.004;-0.001;-0.007;-0.036;-0.044;0.007;0.511;-0.045;0.008;-0.0;-0.002;-0.001;-0.0;0.0;-0.016;-0.04;0.009;0.505;-0.041;0.006;0.011
index__hour_9;0.012;0.242;-0.02;-0.063;0.241;-0.065;0.045;0.045;0.242;-0.02;-0.063;0.241;-0.065;0.001;0.027;0.242;-0.02;-0.063;0.241;-0.065;-0.05;-0.05;0.265;-0.02;-0.05;0.264;-0.065;-0.018;-0.05;0.264;-0.02;-0.05;0.264;-0.065;-0.012;-0.02;-0.017;-0.021;-0.024;-0.04;0.299;-0.02;-0.052;0.299;-0.065;-0.011;-0.02;-0.014;-0.019;-0.066;-0.081;0.643;-0.021;-0.042;0.643;-0.065;-0.018;-0.025;-0.02;-0.024;-0.012;-0.081;0.663;-0.021;-0.042;0.664;-0.065;-0.019;-0.023;-0.022;-0.024;-0.065;-0.098;0.876;-0.021;-0.035;0.878;-0.065;-0.001;-0.002;-0.0;-0.006;-0.058;-0.114;0.996;-0.022;-0.036;1.0;-0.065;0.007;0.006;0.014;0.001;-0.012;-0.096;0.913;-0.021;-0.033;0.916;-0.066;0.002;-0.001;0.005;-0.005;0.001;-0.091;0.848;-0.021;-0.025;0.85;-0.066;0.003;-0.003;0.001;-0.006;0.002;-0.081;0.825;-0.021;-0.023;0.826;-0.066;0.004;-0.003;0.0;-0.007;-0.015;-0.082;0.619;-0.022;-0.01;0.62;-0.066;0.003;-0.003;-0.001;-0.007;0.011;-0.074;0.596;-0.022;-0.011;0.597;-0.066;0.002;-0.005;0.0;-0.009;0.005;-0.028;0.516;-0.025;-0.016;0.52;-0.068;0.003
index__open_cases_9;0.042;-0.038;0.61;-0.012;-0.039;0.988;0.076;0.076;-0.038;0.61;-0.012;-0.039;0.988;-0.032;0.026;-0.038;0.61;-0.012;-0.039;0.988;-0.004;-0.004;-0.041;0.61;-0.011;-0.042;0.988;-0.017;-0.005;-0.042;0.61;-0.011;-0.043;0.988;0.037;0.014;0.007;0.022;0.018;0.015;-0.048;0.61;-0.009;-0.049;0.989;0.037;0.016;0.009;0.024;0.086;0.09;-0.06;0.615;0.01;-0.06;0.997;0.066;0.042;0.032;0.047;0.006;0.087;-0.06;0.615;0.008;-0.061;0.997;0.08;0.057;0.041;0.059;0.032;0.083;-0.061;0.616;0.003;-0.062;0.999;0.088;0.062;0.043;0.066;0.025;0.088;-0.065;0.616;0.003;-0.065;1.0;0.088;0.065;0.046;0.071;-0.005;0.067;-0.07;0.616;0.007;-0.07;0.999;0.087;0.063;0.044;0.071;0.01;0.067;-0.073;0.617;0.003;-0.073;0.998;0.087;0.064;0.042;0.071;-0.02;0.054;-0.077;0.617;0.003;-0.076;0.997;0.085;0.059;0.034;0.066;0.012;0.056;-0.031;0.623;-0.001;-0.032;0.987;0.082;0.056;0.031;0.065;0.0;0.053;-0.03;0.623;-0.004;-0.03;0.985;0.08;0.055;0.029;0.064;-0.006;0.018;-0.035;0.628;-0.012;-0.035;0.954;0.006
index__FirstWithdrawalAmount_10;0.3;0.019;0.108;0.023;0.019;0.089;0.039;0.039;0.019;0.108;0.023;0.019;0.089;-0.005;0.02;0.019;0.108;0.023;0.019;0.089;-0.099;-0.099;0.053;0.108;0.044;0.053;0.09;-0.012;-0.099;0.053;0.108;0.044;0.053;0.09;0.454;0.159;0.071;0.176;-0.086;-0.117;0.049;0.107;0.039;0.049;0.089;0.468;0.156;0.061;0.17;0.091;0.039;0.008;0.108;0.007;0.008;0.089;0.58;0.207;0.093;0.22;-0.031;0.028;0.009;0.108;0.008;0.008;0.088;0.746;0.329;0.177;0.347;-0.04;-0.003;0.023;0.108;0.006;0.022;0.088;0.895;0.429;0.257;0.451;-0.102;-0.04;0.008;0.108;-0.004;0.007;0.088;1.0;0.484;0.306;0.514;-0.083;-0.073;-0.002;0.107;-0.001;-0.002;0.087;0.938;0.433;0.244;0.467;-0.074;-0.091;-0.005;0.107;-0.001;-0.006;0.086;0.893;0.4;0.201;0.433;-0.059;-0.1;-0.009;0.107;0.001;-0.01;0.086;0.866;0.377;0.167;0.408;0.023;-0.07;-0.021;0.105;0.006;-0.022;0.085;0.849;0.359;0.14;0.391;-0.035;-0.078;-0.02;0.104;0.005;-0.021;0.085;0.831;0.346;0.123;0.378;0.038;-0.002;-0.022;0.102;0.007;-0.022;0.08;-0.02
index__MonthlyCost_10;0.364;-0.058;0.075;-0.029;-0.058;0.066;-0.065;-0.065;-0.058;0.075;-0.029;-0.058;0.066;-0.095;-0.097;-0.058;0.075;-0.029;-0.058;0.066;-0.164;-0.164;-0.004;0.075;0.005;-0.004;0.066;0.027;-0.163;-0.003;0.075;0.005;-0.003;0.067;0.248;0.46;0.166;0.389;0.019;-0.04;-0.001;0.075;0.01;-0.001;0.067;0.261;0.487;0.176;0.411;-0.011;-0.028;0.019;0.075;0.011;0.019;0.067;0.306;0.57;0.202;0.478;0.0;-0.026;0.018;0.074;0.01;0.018;0.067;0.386;0.74;0.251;0.608;-0.08;-0.066;0.031;0.074;0.01;0.03;0.066;0.445;0.88;0.299;0.715;-0.154;-0.119;0.007;0.074;-0.007;0.006;0.065;0.484;1.0;0.34;0.795;-0.129;-0.158;-0.008;0.073;-0.001;-0.008;0.064;0.418;0.915;0.231;0.716;-0.121;-0.185;-0.014;0.072;-0.0;-0.015;0.063;0.371;0.84;0.154;0.66;-0.093;-0.195;-0.018;0.072;0.003;-0.019;0.063;0.34;0.794;0.094;0.62;0.139;-0.066;-0.07;0.072;0.012;-0.071;0.065;0.319;0.767;0.044;0.591;0.001;-0.062;-0.077;0.072;0.013;-0.078;0.065;0.303;0.747;0.012;0.571;0.129;0.081;-0.092;0.07;0.017;-0.091;0.061;-0.052
index__NumberOfTerms_10;0.156;-0.079;0.045;-0.059;-0.078;0.046;-0.126;-0.126;-0.079;0.045;-0.059;-0.078;0.046;-0.147;-0.165;-0.079;0.045;-0.059;-0.078;0.046;-0.21;-0.21;-0.01;0.044;-0.017;-0.01;0.047;0.04;-0.208;-0.009;0.044;-0.017;-0.009;0.047;0.182;0.205;0.448;0.336;0.062;-0.015;-0.002;0.045;-0.01;-0.002;0.047;0.19;0.222;0.481;0.36;-0.046;-0.052;0.031;0.046;0.004;0.031;0.048;0.211;0.247;0.559;0.411;0.02;-0.043;0.031;0.046;0.002;0.031;0.048;0.251;0.28;0.717;0.503;-0.1;-0.09;0.046;0.046;0.004;0.045;0.047;0.286;0.317;0.874;0.587;-0.191;-0.156;0.015;0.045;-0.017;0.014;0.046;0.306;0.34;1.0;0.645;-0.167;-0.206;-0.004;0.044;-0.009;-0.005;0.044;0.228;0.222;0.885;0.54;-0.161;-0.243;-0.012;0.044;-0.01;-0.013;0.043;0.179;0.143;0.805;0.466;-0.118;-0.255;-0.017;0.044;-0.005;-0.017;0.042;0.143;0.083;0.748;0.413;0.215;-0.06;-0.094;0.044;0.003;-0.094;0.046;0.117;0.035;0.707;0.373;0.023;-0.049;-0.106;0.044;0.004;-0.106;0.046;0.098;0.005;0.68;0.346;0.169;0.119;-0.132;0.045;0.003;-0.13;0.046;-0.064
index__OfferedAmount_10;0.513;-0.077;0.087;-0.042;-0.077;0.071;-0.088;-0.088;-0.077;0.087;-0.042;-0.077;0.071;-0.118;-0.124;-0.077;0.087;-0.042;-0.077;0.071;-0.159;-0.159;-0.025;0.087;-0.01;-0.025;0.071;0.044;-0.157;-0.024;0.087;-0.01;-0.024;0.071;0.3;0.432;0.323;0.524;0.05;-0.008;-0.019;0.087;-0.002;-0.019;0.072;0.311;0.46;0.346;0.555;-0.045;-0.047;0.019;0.088;0.01;0.019;0.073;0.352;0.523;0.395;0.635;0.014;-0.041;0.017;0.087;0.009;0.017;0.073;0.42;0.629;0.478;0.78;-0.078;-0.076;0.025;0.087;0.009;0.024;0.072;0.476;0.727;0.569;0.906;-0.145;-0.125;0.002;0.086;-0.007;0.001;0.071;0.514;0.795;0.645;1.0;-0.123;-0.16;-0.012;0.085;-0.001;-0.013;0.07;0.45;0.714;0.554;0.926;-0.119;-0.187;-0.019;0.085;-0.001;-0.02;0.069;0.409;0.666;0.49;0.873;-0.089;-0.195;-0.022;0.085;0.003;-0.023;0.069;0.378;0.63;0.445;0.837;0.173;-0.04;-0.081;0.084;0.01;-0.082;0.071;0.357;0.602;0.41;0.81;0.019;-0.031;-0.09;0.084;0.01;-0.091;0.071;0.342;0.584;0.387;0.792;0.143;0.105;-0.104;0.083;0.01;-0.103;0.067;-0.055
index__timesincelastevent_10;-0.0;0.008;-0.014;0.009;0.008;-0.008;0.012;0.012;0.008;-0.014;0.009;0.008;-0.008;0.035;0.029;0.008;-0.014;0.009;0.008;-0.008;-0.024;-0.024;0.017;-0.014;0.014;0.016;-0.008;-0.024;-0.025;0.016;-0.014;0.014;0.016;-0.008;-0.039;-0.059;-0.068;-0.058;-0.019;-0.027;0.015;-0.014;0.014;0.015;-0.009;-0.041;-0.062;-0.072;-0.061;0.081;0.067;0.016;-0.014;0.021;0.016;-0.007;-0.049;-0.074;-0.086;-0.073;-0.011;0.061;0.016;-0.014;0.021;0.016;-0.007;-0.065;-0.099;-0.12;-0.097;0.238;0.184;-0.008;-0.013;0.038;-0.008;-0.005;-0.077;-0.121;-0.15;-0.117;-0.026;0.165;-0.012;-0.013;0.036;-0.012;-0.005;-0.083;-0.129;-0.167;-0.123;1.0;0.623;-0.051;-0.004;-0.009;-0.051;0.006;-0.046;-0.075;-0.096;-0.074;-0.013;0.588;-0.05;-0.004;-0.009;-0.05;0.006;-0.037;-0.068;-0.085;-0.064;0.26;0.609;-0.025;-0.003;-0.015;-0.023;0.006;-0.011;-0.03;-0.026;-0.027;-0.059;0.485;-0.007;-0.003;-0.015;-0.006;0.005;-0.009;-0.029;-0.022;-0.026;0.015;0.463;-0.002;-0.002;-0.013;-0.001;0.005;0.0;-0.022;-0.012;-0.02;-0.047;0.162;0.007;-0.003;-0.014;0.007;0.005;0.007
index__timesincecasestart_10;0.034;0.085;-0.002;0.123;0.084;0.049;0.047;0.047;0.085;-0.002;0.123;0.084;0.049;0.112;0.096;0.085;-0.002;0.123;0.084;0.049;0.039;0.039;0.075;-0.002;0.114;0.074;0.049;-0.087;0.036;0.072;-0.002;0.114;0.072;0.049;-0.188;-0.289;-0.332;-0.285;0.163;0.167;0.063;-0.002;0.112;0.063;0.05;-0.191;-0.292;-0.334;-0.288;0.552;0.609;-0.07;-0.0;0.011;-0.07;0.057;-0.178;-0.28;-0.328;-0.279;0.191;0.633;-0.07;-0.0;0.009;-0.07;0.058;-0.145;-0.25;-0.303;-0.25;0.618;0.828;-0.09;0.003;-0.033;-0.088;0.065;-0.09;-0.19;-0.242;-0.193;0.237;0.874;-0.098;0.004;-0.046;-0.096;0.067;-0.073;-0.158;-0.206;-0.16;0.623;1.0;-0.099;0.009;-0.066;-0.099;0.075;-0.029;-0.095;-0.122;-0.1;0.019;0.956;-0.088;0.009;-0.069;-0.088;0.075;-0.014;-0.075;-0.092;-0.076;0.185;0.916;-0.074;0.011;-0.071;-0.073;0.076;0.005;-0.044;-0.048;-0.048;-0.276;0.589;0.013;0.01;-0.075;0.014;0.072;0.011;-0.038;-0.039;-0.04;-0.002;0.556;0.022;0.01;-0.074;0.024;0.072;0.02;-0.03;-0.029;-0.034;-0.193;0.081;0.056;0.011;-0.077;0.055;0.075;0.009
